,source,target,relationship
722,capitol,Michael R. Sisak,is written by
723,Michael R. Sisak,SPORTS,covers
724,Michael R. Sisak,BUSINESS,covers
725,attack,Andy Campbell,is written by
726,basketball,Andy Campbell,is written by
727,economy,Andy Campbell,is written by
728,democrats,Andy Campbell,is written by
729,football,Andy Campbell,is written by
730,republicans,Andy Campbell,is written by
731,police,Andy Campbell,is written by
732,court,Andy Campbell,is written by
733,technology,Andy Campbell,is written by
734,vote,Andy Campbell,is written by
735,Baseball,Andy Campbell,is written by
736,NFL,Andy Campbell,is written by
737,golf,Andy Campbell,is written by
738,trump,Andy Campbell,is written by
739,suspect,Andy Campbell,is written by
740,donald,Andy Campbell,is written by
741,election,Andy Campbell,is written by
742,charged,Andy Campbell,is written by
743,tennis,Andy Campbell,is written by
744,athletics,Andy Campbell,is written by
745,capitol,Andy Campbell,is written by
746,Andy Campbell,CRIME,covers
747,Andy Campbell,SPORTS,covers
748,Andy Campbell,BUSINESS,covers
749,attack,Kate Brumback,is written by
750,basketball,Kate Brumback,is written by
751,economy,Kate Brumback,is written by
752,democrats,Kate Brumback,is written by
753,football,Kate Brumback,is written by
754,republicans,Kate Brumback,is written by
755,police,Kate Brumback,is written by
756,court,Kate Brumback,is written by
757,technology,Kate Brumback,is written by
758,biden,Kate Brumback,is written by
759,vote,Kate Brumback,is written by
760,Baseball,Kate Brumback,is written by
761,NFL,Kate Brumback,is written by
762,golf,Kate Brumback,is written by
763,trump,Kate Brumback,is written by
764,suspect,Kate Brumback,is written by
765,donald,Kate Brumback,is written by
766,charged,Kate Brumback,is written by
767,tennis,Kate Brumback,is written by
768,athletics,Kate Brumback,is written by
769,capitol,Kate Brumback,is written by
770,Kate Brumback,CRIME,covers
771,Kate Brumback,SPORTS,covers
772,Kate Brumback,BUSINESS,covers
773,attack,Igor Bobic,is written by
774,basketball,Igor Bobic,is written by
775,economy,Igor Bobic,is written by
776,football,Igor Bobic,is written by
777,police,Igor Bobic,is written by
